"year","total_count"
"2012",591054
"2011",872766
"2010",838539
"2009",793985
"2008",766678
"2007",729238
"2006",694148
"2005",650157
"2004",595260
"2003",558165
"2002",526810
"2001",508594
"2000",486909
"1999",459645
"1998",446886
"1997",432050
"1996",421840
"1995",416522
"1994",407376
"1993",398159
"1992",391853
"1991",388830
"1990",388229
"1989",381459
"1988",365676
"1987",348035
"1986",330485
"1985",318114
"1984",307951
"1983",299080
"1982",285281
"1981",274543
"1980",272615
"1979",274310
"1978",265583
"1977",255860
"1976",249371
"1975",244342
"1974",230227
"1973",226486
"1972",222517
"1971",218051
"1970",212751
"1969",210910
"1968",204072
"1967",187111
"1966",175294
"1965",171834
"1964",156389
"1963",136328
"1962",111441
"1961",100603
"1960",94352
"1959",86956
"1958",79085
"1957",81521
"1956",78692
"1955",80441
"1954",79188
"1953",84000
"1952",86943
"1951",91471
"1950",78764
"1949",42446
"1948",31470
"1947",29591
